S.No,Language,School,Gender,Age,RuralOrUrban,Family Size,Parent's Cohabitation,Mother's Education,Father's Education,Mother's job ,Father's job,Reason to choose this school,Guardian,Traveltime ,Studytime,Failures ,School educational support,Family educational support,extra paid classes,extra-curricular activities,attended nursery school,wants to take higher education,Internet access at home,with a romantic relationship,quality of family relationships,free time after school,going out with friends,workday alcohol consumption,weekend alcohol consumption,current health status,number of school absences,first period grade,second period grade ,final grade ,School educational support_Lag1,School educational support_Lag2,Family educational support_Lag1,Family educational support_Lag2,extra paid classes_Lag1,extra paid classes_Lag2,Total Grade
11,Math,GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2.5,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9,no,no,yes,yes,yes,yes,9
12,Math,GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,7.5,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12,no,no,yes,yes,yes,yes,11.5
13,Math,GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14,no,no,yes,yes,no,yes,14
14,Math,GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2.5,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,10,10,11,no,no,yes,yes,yes,no,10.5
15,Math,GP,M,15,U,GT3,A,2,2,other,other,home,other,1,7.5,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16,no,no,yes,yes,yes,yes,15.5
16,Math,GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14,no,no,yes,yes,no,yes,14
17,Math,GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,7.5,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14,no,no,yes,yes,no,no,13.75
18,Math,GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2.5,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10,no,no,yes,yes,yes,no,9.5
19,Math,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5,yes,no,yes,yes,no,yes,5.25
20,Math,GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10,no,yes,yes,yes,no,no,9.5
21,Math,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2.5,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15,no,no,no,yes,yes,no,14.25
22,Math,GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15,no,no,no,no,no,yes,14.25
23,Math,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2.5,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16,no,no,yes,no,yes,no,15.5
24,Math,GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2.5,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12,no,no,no,yes,no,yes,12.5
25,Math,GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,7.5,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8,no,no,yes,no,no,no,8.75
26,Math,GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8,yes,no,yes,yes,yes,no,7.75
27,Math,GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,12,12,11,no,yes,yes,yes,yes,yes,11.5
28,Math,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,15,16,15,no,no,yes,yes,yes,yes,15.25
29,Math,GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2.5,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,11,no,no,no,yes,yes,yes,11
30,Math,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2.5,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11,yes,no,yes,no,no,yes,11
31,Math,GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2.5,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12,no,yes,yes,yes,yes,no,11
32,Math,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2.5,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17,no,no,yes,yes,yes,yes,16.75
33,Math,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2.5,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16,no,no,yes,yes,no,yes,16.25
34,Math,GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2.5,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,8,10,12,no,no,yes,yes,no,no,10.5
35,Math,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,12,14,15,no,no,no,yes,no,no,14
36,Math,GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6,no,no,yes,no,yes,no,6.75
37,Math,GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,7.5,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18,no,no,yes,yes,no,yes,16.75
38,Math,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,7.5,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15,no,no,yes,yes,no,no,15.25
39,Math,GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,7.5,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11,no,no,yes,yes,no,no,11.5
40,Math,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13,yes,no,yes,yes,yes,no,13.25
41,Math,GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2.5,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11,yes,yes,yes,yes,yes,yes,9.75
42,Math,GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12,no,yes,yes,yes,no,yes,12
43,Math,GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2.5,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18,no,no,yes,yes,no,no,18.25
44,Math,GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11,no,no,yes,yes,no,no,9.5
45,Math,GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2.5,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9,yes,no,yes,yes,no,no,9.5
46,Math,GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2.5,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6,yes,yes,no,yes,no,no,7
47,Math,GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2.5,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11,yes,yes,yes,no,yes,no,11.25
48,Math,GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,11,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20,no,yes,yes,yes,no,yes,19.5
49,Math,GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2.5,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,15,15,14,no,no,no,yes,no,no,14.5
50,Math,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2.5,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,7,7,7,no,no,yes,no,yes,no,7
51,Math,GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2.5,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,12,13,13,yes,no,yes,yes,no,yes,12.75
52,Math,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2.5,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,11,13,13,no,yes,yes,yes,yes,no,12.5
53,Math,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,11,11,10,no,no,yes,yes,yes,yes,10.5
54,Math,GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,8,10,11,no,no,no,yes,no,yes,10
55,Math,GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,10,13,13,yes,no,yes,no,yes,no,12.25
56,Math,GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2.5,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10,no,yes,no,yes,yes,yes,9.25
57,Math,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2.5,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15,no,no,no,no,yes,yes,14.75
58,Math,GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2.5,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15,no,no,yes,no,yes,yes,14.75
59,Math,GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2.5,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9,no,no,yes,yes,no,yes,9.25
60,Math,GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2.5,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,15,16,16,yes,no,yes,yes,no,no,15.75
61,Math,GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2.5,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11,no,yes,yes,yes,no,no,10.75
62,Math,GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11,no,no,yes,yes,no,no,10
63,Math,GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2.5,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9,yes,no,yes,yes,no,no,9
64,Math,GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,7.5,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9,yes,yes,no,yes,no,no,9.25
65,Math,GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2.5,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,10,10,10,yes,yes,yes,no,yes,no,10
66,Math,GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2.5,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,15,yes,yes,no,yes,no,yes,15.25
67,Math,GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,11,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,13,13,12,no,yes,yes,no,no,no,12.5
68,Math,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,11,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,7,7,6,no,no,yes,yes,no,no,6.5
69,Math,GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2.5,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,8,9,8,yes,no,yes,yes,yes,no,8.25
70,Math,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,11,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,16,16,16,yes,yes,yes,yes,yes,yes,16
71,Math,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,11,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,13,15,15,no,yes,yes,yes,no,yes,14.5
72,Math,GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,11,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,10,10,10,no,no,yes,yes,yes,no,10
73,Math,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2.5,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,8,6,5,no,no,no,yes,no,yes,6
74,Math,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,12,12,14,yes,no,yes,no,no,no,13
75,Math,GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2.5,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11,no,yes,no,yes,no,no,11.25
76,Math,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2.5,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10,yes,no,yes,no,yes,no,9.5
77,Math,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,11,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,11,11,10,no,yes,yes,yes,yes,yes,10.5
78,Math,GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,11,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,11,11,11,no,no,no,yes,no,yes,11
79,Math,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,8,8,10,no,no,no,no,yes,no,9
80,Math,GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2.5,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,5,5,5,yes,no,yes,no,no,yes,5
81,Math,GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,10,12,12,no,yes,yes,yes,no,no,11.5
82,Math,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,7.5,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,11,10,11,yes,no,yes,yes,yes,no,10.75
83,Math,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2.5,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10,7,6,6,yes,yes,no,yes,yes,yes,6.25
84,Math,GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2.5,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15,no,yes,yes,no,yes,yes,15
85,Math,GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2.5,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10,no,no,no,yes,yes,yes,9.75
86,Math,GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2.5,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,7,9,8,no,no,yes,no,no,yes,8
87,Math,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2.5,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,8,7,6,no,no,no,yes,yes,no,6.75
88,Math,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,7.5,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,13,14,14,no,no,yes,no,no,yes,13.75
89,Math,GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2.5,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,11,10,10,no,no,yes,yes,no,no,10.25
90,Math,GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2.5,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,8,6,7,no,no,no,yes,yes,no,7
91,Math,GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,7.5,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,7,7,8,no,no,yes,no,no,yes,7.5
92,Math,GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,16,17,18,no,no,yes,yes,yes,no,17.25
93,Math,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2.5,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,7,6,6,no,no,no,yes,yes,yes,6.25
94,Math,GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2.5,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10,yes,no,yes,no,no,yes,10.25
95,Math,GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,11,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,11,13,14,no,yes,yes,yes,yes,no,13
96,Math,GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,11,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10,no,no,yes,yes,no,yes,9.25
97,Math,GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2,11,15,15,yes,no,yes,yes,yes,no,14
98,Math,GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2.5,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2,8,9,10,yes,yes,yes,yes,no,yes,9.25
99,Math,GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6,11,14,14,no,yes,yes,yes,yes,no,13.25
100,Math,GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,7.5,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0,7,9,8,no,no,no,yes,no,yes,8
101,Math,GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,7,7,5,yes,no,yes,no,yes,no,6
102,Math,GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,7.5,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,17,17,yes,yes,yes,yes,yes,yes,16.75
103,Math,GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,10,13,14,no,yes,yes,yes,no,yes,12.75
104,Math,GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2.5,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26,7,6,6,no,no,yes,yes,no,no,6.25
105,Math,GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2.5,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,18,18,yes,no,yes,yes,yes,no,17.5
106,Math,GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,11,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,11,11,no,yes,yes,yes,yes,yes,10.75
107,Math,GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,11,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,8,7,8,8,yes,no,no,yes,no,yes,7.75
108,Math,GP,M,16,U,GT3,T,3,3,services,other,home,father,1,7.5,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,16,18,18,yes,yes,yes,no,yes,no,17.5
109,Math,GP,M,15,R,GT3,T,4,4,other,other,home,father,4,11,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,10,13,13,no,yes,yes,yes,no,yes,12.25
110,Math,GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,7.5,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,14,15,16,no,no,yes,yes,yes,no,15.25
111,Math,GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6,18,19,19,no,no,yes,yes,yes,yes,18.75
112,Math,GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,7.5,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0,7,10,10,no,no,no,yes,no,yes,9.25
113,Math,GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2.5,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,6,10,13,13,yes,no,yes,no,no,no,12.25
114,Math,GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,18,19,19,yes,yes,no,yes,no,no,18.75
115,Math,GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2.5,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,8,9,9,9,no,yes,no,no,no,no,9
116,Math,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2.5,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2,15,15,16,no,no,no,no,no,no,15.5
117,Math,GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2.5,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,2,11,13,14,no,no,yes,no,no,no,13
118,Math,GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,0,13,14,13,no,no,yes,yes,no,no,13.25
119,Math,GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2.5,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,20,9,7,8,no,no,no,yes,no,no,8
120,Math,GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,6,14,13,13,no,no,yes,no,no,no,13.25
121,Math,GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2.5,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2,16,15,15,no,no,no,yes,no,no,15.25
122,Math,GP,M,15,U,GT3,T,2,2,services,services,home,father,1,11,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6,16,14,15,no,no,no,no,no,no,15
123,Math,GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2.5,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,13,13,13,no,no,yes,no,yes,no,13
124,Math,GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,18,14,11,13,no,no,yes,yes,yes,yes,12.75
125,Math,GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2.5,0,no,no,yes,no,yes,yes,yes,yes,5,4,4,1,1,5,0,8,7,8,no,no,yes,yes,no,yes,7.75
126,Math,GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,0,13,13,12,no,no,no,yes,yes,no,12.5
127,Math,GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2.5,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,7,10,11,yes,no,no,no,no,yes,9.75
128,Math,GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2.5,3,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,2,7,8,9,yes,yes,no,no,no,no,8.25
130,Math,GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,5,5,2,5,4,8,18,18,18,no,yes,yes,no,no,no,18
133,Math,GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,12,10,13,12,no,no,no,yes,yes,no,11.75
134,Math,GP,F,16,U,GT3,A,3,4,services,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,16,12,11,11,no,no,yes,no,no,yes,11.25
139,Math,GP,M,16,U,LE3,T,1,1,services,other,course,mother,1,2.5,1,no,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,0,14,12,12,no,no,no,yes,no,no,12.5
140,Math,GP,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,16,16,15,no,no,no,no,no,no,15.5
